timestamp,unique_id,orig_host,orig_port,resp_host,resp_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label,Sub_Label
1637836615.557688,CC5vc31F1i7LU3LCy,192.168.0.170,36418,192.168.0.128,80,tcp,-,3.044283,0,0,S0,T,T,0,S,3,180,0,0,-,DDoS,DDoS_HTTP_Flood
1638572715.436541,Ccksqm4bxFlKn9Evfh,192.168.0.128,48842,192.168.0.170,4321,tcp,-,0.125799,0,0,REJ,T,T,0,Sr,1,60,1,40,-,Ransomware,RansomwareAttack
1638640838.92553,CTZARBVWYLPH9ifBg,192.168.0.170,52296,192.168.0.128,80,tcp,http,0.122222,221,1758,SF,T,T,0,ShDadfAF,6,541,7,2130,-,BruteForce,password_attack
1640645957.382959,CmV0pd3nK4P1nT60vk,192.168.1.101,64562,192.168.1.128,1883,tcp,mqtt,0.021197,46,4,SF,T,T,0,ShDadFfAr,8,378,8,336,-,BenignTraffic,BenignTraffic
1640647040.156066,CoVk0njhvgMcFNaz2,192.168.1.101,65021,192.168.1.128,1883,tcp,mqtt,0.017604,46,4,SF,T,T,0,ShDadFfAr,8,378,8,336,-,BenignTraffic,BenignTraffic
1640647026.137854,CQ2LNa1d8ZUyPUSxF4,192.168.1.101,64525,192.168.1.128,1883,tcp,mqtt,0.024221,46,4,SF,T,T,0,ShDadAFfr,9,418,9,376,-,BenignTraffic,BenignTraffic
1638637931.176942,CRM2d02GkvZFhcrjU9,192.168.0.170,43188,192.168.0.128,80,tcp,http,0.324399,86,1877,SF,T,T,0,ShDadfAF,6,406,7,2249,-,BruteForce,password_attack
1638641044.718826,CeGhRrINW1c1YoA1k,192.168.0.170,55154,192.168.0.128,80,tcp,http,0.121026,86,1877,SF,T,T,0,ShDadfAF,7,458,7,2249,-,BruteForce,password_attack
1638639445.445057,CjuY7A2A69Q2Bo2f25,192.168.0.170,60818,192.168.0.128,80,tcp,http,0.130280,221,1758,SF,T,T,0,ShDaAdfF,6,541,7,2130,-,BruteForce,password_attack
1638640936.770433,CFvvsu35SriH8STxtl,192.168.0.170,53666,192.168.0.128,80,tcp,-,0.020927,0,0,SF,T,T,0,ShAFf,4,216,2,112,-,BruteForce,password_attack
1637771062.908056,CTfa7o3svGwyA2OWae,192.168.0.170,6235,192.168.0.128,80,tcp,-,0.000046,0,0,REJ,T,T,0,Sr,1,40,1,40,-,Recon,Port_scanning
1637836626.707162,Ck7bzn2Aa5AxKdYy6d,192.168.0.170,36860,192.168.0.128,80,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-,DDoS,DDoS_HTTP_Flood
1638638087.378206,CnPas42obQPTQaUKld,192.168.0.170,44742,192.168.0.128,80,tcp,http,0.336925,86,1877,SF,T,T,0,ShDadfAF,6,406,7,2249,-,BruteForce,password_attack
1637836560.43784,CHIgae4c9lD8NfAzak,192.168.0.170,57588,192.168.0.128,80,tcp,http,66.619985,963,486,SF,T,T,0,ShADadfF,28,2427,27,1898,-,DDoS,DDoS_HTTP_Flood
1637770427.896883,CffuMJ2DiTkCyKc0W,fe80::d5a3:549a:3c85:2120,131,ff02::fb,130,icmp,-,-,-,-,OTH,T,F,0,-,1,72,0,0,-,Recon,Port_scanning
1638644416.145357,ChZBqF4kb3UZGbOUB9,192.168.0.170,45936,192.168.0.128,80,tcp,http,0.120297,86,1877,SF,T,T,0,ShADadfF,6,406,6,2197,-,BruteForce,password_attack
1638635720.749061,CnjOmL1wpu9Akd86Gh,192.168.0.170,44988,192.168.0.128,80,tcp,http,0.122828,261,302,SF,T,T,0,ShDadfAF,6,581,6,622,-,BruteForce,password_attack
1638639006.00047,CWLPny3dA7dLhy1N5b,192.168.0.170,54714,192.168.0.128,80,tcp,http,0.122156,86,1877,SF,T,T,0,ShDadfAF,6,406,7,2249,-,BruteForce,password_attack
1637836631.16736,C3I4mz2UloqI4Cvxka,192.168.0.170,38140,192.168.0.128,80,tcp,-,3.044112,0,0,S0,T,T,0,S,3,180,0,0,-,DDoS,DDoS_HTTP_Flood
1641358091.294389,C3z4cH39DIVQySfx76,192.168.7.62,61435,192.168.7.55,1883,tcp,mqtt,0.019604,41,4,SF,T,T,0,ShADadFfr,8,373,7,296,-,BenignTraffic,BenignTraffic
1637836647.423798,Cywl402Umoojm3datg,192.168.0.170,32984,192.168.0.128,80,tcp,-,-,-,-,S0,T,T,0,S,1,60,0,0,-,DDoS,DDoS_HTTP_Flood
1641358565.214689,CbNpD63fAYKDlWuuq1,192.168.7.62,51103,192.168.7.55,1883,tcp,mqtt,0.018279,41,4,SF,T,T,0,ShDadAFfr,9,413,9,376,-,BenignTraffic,BenignTraffic
