timestamp,unique_id,orig_host,orig_port,resp_host,resp_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label,Sub_Label
1693340645.550196,CkWNP83Jiibm1J5Np9,192.168.137.156,44325,192.168.137.250,1883,tcp,-,19.487492,308403881,1659720455,SF,T,T,0,SadfADFRhf,5,273,8,432,-,DDoS,MQTT-DDoS-Connect_flood
1694617770.075871,CgCOcG2QTS3Vsftt88,192.168.137.172,55505,192.168.137.1,53,udp,dns,0.280427,96,48,SF,T,T,0,Dd,3,180,1,76,-,BenignTraffic,Benign
1693340563.968573,CepbSP2yIA7VsVfMvf,192.168.137.180,53601,192.168.137.250,1883,tcp,-,11.153685,169655552,4,SF,T,T,0,^hSadfADFRRhtf,6,312,8,440,-,DDoS,MQTT-DDoS-Connect_flood
1694649698.190098,CZzArn10feoMQWiS32,192.168.137.234,59494,35.224.21.224,443,tcp,-,0.256040,0,4430,SHR,T,F,0,^hadf,0,0,14,5166,-,BenignTraffic,Benign
1693340398.313863,CsdaxX1veJiRQMiKU5,192.168.137.180,37093,192.168.137.250,1883,tcp,-,0.325328,0,4,SHR,T,T,0,^hadf,0,0,4,220,-,DDoS,MQTT-DDoS-Connect_flood
1694102429.892822,Cj8wng32Gau4KepJpc,192.168.137.48,54416,192.168.137.233,1947,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-,Recon,Recon-Port_Scan
1694104081.791553,CXEo6H3SnfwL3rWILe,192.168.137.48,44217,192.168.137.174,1147,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-,Recon,Recon-OS_Scan
1694637715.970374,CFTLgAuyW9r3wcugg,169.254.134.77,63643,239.255.255.250,1900,udp,-,3.030292,700,0,S0,T,F,0,D,4,812,0,0,-,BenignTraffic,Benign
1694640207.110432,Cdbdsy4jRUpovzx7S6,192.168.137.250,42830,185.125.190.56,123,udp,ntp,-,-,-,SHR,T,F,0,^d,0,0,1,76,-,BenignTraffic,Benign
1693340522.795964,CJBRZR1Qx0TVTZ40Sj,192.168.137.156,50989,192.168.137.250,1883,tcp,mqtt,0.550277,17,0,OTH,T,T,0,SADFRR,7,353,0,0,-,DDoS,MQTT-DDoS-Connect_flood
1693340482.844291,Cqfhbc2oFn5fu5xrXf,192.168.137.212,33919,192.168.137.250,1883,tcp,-,17.414026,271728500,4,SF,T,T,0,^hSadfADFRh,6,313,5,280,-,DDoS,MQTT-DDoS-Connect_flood
1694104004.834992,CC9kuD2bC2C00AHDf,192.168.137.174,1053,192.168.137.48,52835,tcp,-,-,-,-,OTH,T,T,0,R,1,40,0,0,-,Recon,Recon-OS_Scan
1694688975.783717,CFvDRZAGfBNHPdYG3,fe80::417c:a79c:a517:e904,546,ff02::1:2,547,udp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BenignTraffic,Benign
1693340511.067084,CRfsef4jWSjmjarFwd,192.168.137.212,45901,192.168.137.250,1883,tcp,-,0.306575,0,4,SHR,T,T,0,^hadf,0,0,4,220,-,DDoS,MQTT-DDoS-Connect_flood
1694621576.679437,CX7WlnOEcTnH3ahzc,fe80::3d71:e0bf:dd72:311e,50510,ff02::c,3702,udp,-,49.773940,13776,0,S0,T,F,0,D,21,14784,0,0,-,BenignTraffic,Benign
1694617059.31916,CKKJZENmSJw3F4e6l,192.168.137.40,42864,35.155.100.181,443,tcp,ssl,1.799649,1123,3885,SF,T,F,387,SADhadgFf,13,1807,12,4517,-,BenignTraffic,Benign
1693340369.233908,CIwYJA2aj3bsSrYXzk,192.168.137.180,41071,192.168.137.250,1883,tcp,mqtt,3.568945,59888102,0,RSTO,T,T,0,SADFRRh,6,313,1,60,-,DDoS,MQTT-DDoS-Connect_flood
1693340698.041823,CsYPfc3qvCI1q1dma,192.168.137.212,52429,192.168.137.250,1883,tcp,mqtt,1.286998,21157251,4,SF,T,T,0,SADFRhadf,6,313,4,220,-,DDoS,MQTT-DDoS-Connect_flood
1693340748.832318,Cvqq7E2qPO8KFfVsSk,192.168.137.212,48311,192.168.137.250,1883,tcp,-,14.186139,219769548,605718856,SF,T,T,0,SdfADFRha,6,313,5,276,-,DDoS,MQTT-DDoS-Connect_flood
1694670548.695163,CRig0S21ULGlIvx6Ze,fe80::417c:a79c:a517:e904,546,ff02::1:2,547,udp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,BenignTraffic,Benign
1693340360.882856,CVJjjt2FrRdbMKYHpb,192.168.137.156,39749,192.168.137.250,1883,tcp,-,6.771832,111398567,4,SF,T,T,0,^hSadfADFRh,6,313,5,280,-,DDoS,MQTT-DDoS-Connect_flood
1694102573.162084,C5QtQT2Xm6tswVIi04,192.168.137.48,58984,192.168.137.250,55571,tcp,-,-,-,-,S0,T,T,0,S,1,44,0,0,-,Recon,Recon-Port_Scan
1693340602.437218,CT3h3A3695TAqKiga6,192.168.137.180,46559,192.168.137.250,1883,tcp,mqtt,3.055328,49021343,0,RSTO,T,T,0,SADFRRh,6,313,1,60,-,DDoS,MQTT-DDoS-Connect_flood
