timestamp,unique_id,orig_host,orig_port,resp_host,resp_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label,Sub_Label
1545454126.737044,CDN6iq2WVQT63RtFp2,192.168.1.198,36097,85.106.42.152,37215,tcp,-,-,-,-,S0,-,-,0,S,1,40,0,0,-,Malicious,Okiru
1525904246.003243,CllGsxt8LNZqjs2Mi,192.168.100.103,43763,143.15.170.217,29717,udp,-,-,-,-,S0,-,-,0,D,1,40,0,0,(empty),BenignTraffic,BenignTraffic
1526100399.387224,Chk7mh2EPck5WRcIcj,191.143.113.33,3,192.168.100.103,3,icmp,-,-,-,-,OTH,-,-,0,-,1,56,0,0,(empty),BenignTraffic,BenignTraffic
1569018467.906506,CuIthdI8snIKWGEQf,192.168.1.195,10955,162.248.88.215,62336,tcp,-,-,-,-,OTH,-,-,0,C,0,0,0,0,-,Malicious,DDoS
1545467614.985467,Cvdxz90Vkorh7zYN3,192.168.1.198,36097,202.149.14.105,37215,tcp,-,-,-,-,S0,-,-,0,S,1,40,0,0,-,Malicious,Okiru
1545447181.894843,CXWuQa16yzlxpincI3,192.168.1.198,36097,183.115.219.161,37215,tcp,-,-,-,-,S0,-,-,0,S,1,40,0,0,-,Malicious,Okiru
1526121698.01307,C9ymF60yyERWCK3ki,192.168.100.103,43763,88.191.244.109,12336,udp,-,-,-,-,S0,-,-,0,D,1,40,0,0,(empty),BenignTraffic,BenignTraffic
1525907838.012636,CezkOp4XezuYybf7ua,192.168.100.103,43763,2.48.209.55,5327,udp,-,-,-,-,S0,-,-,0,D,1,40,0,0,(empty),BenignTraffic,BenignTraffic
1545449581.559024,CVIfjU2EJfJu4Rur42,192.168.1.198,36097,45.208.99.166,37215,tcp,-,-,-,-,S0,-,-,0,S,1,40,0,0,-,Malicious,Okiru
1545464444.293653,CEDVUPt7qGkmyiY05,192.168.1.198,36097,135.18.209.76,37215,tcp,-,-,-,-,S0,-,-,0,S,1,40,0,0,-,Malicious,Okiru
1545409857.48688,CdXXpT3tF268XFojYh,192.168.1.198,36097,111.22.112.68,37215,tcp,-,-,-,-,S0,-,-,0,S,1,40,0,0,-,Malicious,Okiru
1525948713.012753,CNH2tRFy4hKgD3ip3,192.168.100.103,43763,75.176.237.41,33576,udp,-,-,-,-,S0,-,-,0,D,1,40,0,0,(empty),BenignTraffic,BenignTraffic
1526052508.012364,CTPbzo4nQar9kErnSk,192.168.100.103,43763,153.131.151.31,50239,udp,-,-,-,-,S0,-,-,0,D,1,40,0,0,(empty),BenignTraffic,BenignTraffic
1545419112.752852,CmwQG414TVtxiJFqt4,192.168.1.198,36097,157.112.116.102,37215,tcp,-,-,-,-,S0,-,-,0,S,1,40,0,0,-,Malicious,Okiru
