timestamp,unique_id,orig_host,orig_port,resp_host,resp_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label,Sub_Label
1552246166.186935,CaTMwwtJrpmgCxNH9,192.168.10.128,60310,12.243.19.151,23,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,bashlite,bashlite_mal_spread_all
1552586642.437186,CSjG0B4SnWwpAq8Dq6,192.168.10.111,51497,224.0.0.252,5355,udp,dns,0.419293,66,0,S0,T,F,0,D,2,122,0,0,-,BenignTraffic,Mirai_BenignTraffic
1552613899.932753,CR5lwljUCrP1mpAa4,192.168.10.100,54852,192.168.10.104,9999,tcp,-,0.279631,35,592,SF,T,T,0,ShADadFf,6,295,8,916,-,BenignTraffic,Mirai_BenignTraffic
1552246391.677982,CgaOau4rMHd6U8Gg7f,192.168.10.132,41622,39.154.94.181,23,tcp,-,3.147165,0,0,S0,T,F,0,S,3,180,0,0,-,bashlite,bashlite_mal_spread_all
1552246302.452205,C8CgT63Emq93xpiauj,192.168.10.142,38888,171.128.27.221,23,tcp,-,3.605009,0,0,S0,T,F,0,S,3,180,0,0,-,bashlite,bashlite_mal_spread_all
1552246164.764192,CLJpXr2ZYwMXjAmds9,192.168.10.171,34252,188.9.32.242,23,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,bashlite,bashlite_mal_spread_all
1552618887.09596,COzby64EvM30K7ln8l,192.168.10.100,57172,192.168.10.104,9999,tcp,-,0.279454,35,592,SF,T,T,0,ShADadFf,6,295,8,916,-,BenignTraffic,Mirai_BenignTraffic
1552836520.214382,CJl2pz1Sv4MaDCyHS6,192.168.10.100,54978,192.168.10.104,9999,tcp,-,0.279729,59,848,SF,T,T,0,ShADadFf,6,319,8,1172,-,BenignTraffic,torii_BenignTraffic
1577059439.263255,CTKX4JVpciXOTerk,192.168.10.146,60383,8.8.8.8,53,udp,dns,0.016960,45,45,SF,T,F,0,Dd,1,73,1,73,-,Mirai,Mirai_spread
1552246492.053165,CrqEo52iVTdyc8zBPj,192.168.10.187,44406,102.84.29.184,23,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,bashlite,bashlite_mal_spread_all
1552246188.824112,ClS4Xz3PqcscjaovK,192.168.10.183,48314,156.107.197.177,23,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,bashlite,bashlite_mal_spread_all
1552366187.606791,CcXxPg4ZOUxCNHRB46,192.168.10.1,48687,239.255.255.250,1900,udp,-,0.105246,9202,0,S0,T,F,0,D,20,9762,0,0,-,BenignTraffic,Mirai_BenignTraffic
1552582858.828128,C3zFvD3LwQHFPbfk64,192.168.10.100,39668,192.168.10.104,9999,tcp,-,0.279176,35,596,SF,T,T,0,ShADadFf,6,295,8,920,-,BenignTraffic,Mirai_BenignTraffic
1552246154.911309,CkR6Vdou2CZjfDgOc,192.168.10.172,41824,159.215.179.249,23,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,bashlite,bashlite_mal_spread_all
1552246279.209318,Cd6G6O2wc04lY9xAD7,192.168.10.153,46376,70.1.168.16,23,tcp,-,3.140257,0,0,S0,T,F,0,S,3,180,0,0,-,bashlite,bashlite_mal_spread_all
1552246436.073496,CA5c401JyYlAJyyYe9,192.168.10.161,57726,183.240.127.164,23,tcp,-,3.183347,0,0,S0,T,F,0,S,3,180,0,0,-,bashlite,bashlite_mal_spread_all
1552500472.321886,CMe8sx2p7HBDuKJw35,192.168.10.167,53667,192.168.10.53,53,udp,dns,0.013942,44,110,SF,T,T,0,Dd,1,72,1,138,-,BenignTraffic,Mirai_BenignTraffic
1552245895.862755,CiBCiT2czdPNphOa77,192.168.10.170,43698,59.44.63.61,23,tcp,-,3.130253,0,0,S0,T,F,0,S,3,180,0,0,-,bashlite,bashlite_mal_spread_all
1552350490.175454,CjOgza36P3DDKrH7Ye,192.168.10.101,54194,8.8.8.8,53,udp,dns,0.032225,45,97,SF,T,F,0,Dd,1,73,1,125,-,BenignTraffic,Mirai_BenignTraffic
1552246471.482789,CQ1Jky1iW8Jsuwaakk,192.168.10.170,60358,151.112.165.3,23,tcp,-,2.067036,0,0,S0,T,F,0,S,2,120,0,0,-,bashlite,bashlite_mal_spread_all
1552246456.743446,CknU6l3u9VjifRivb3,192.168.10.152,44044,46.165.53.69,23,tcp,-,3.126982,0,0,S0,T,F,0,S,3,180,0,0,-,bashlite,bashlite_mal_spread_all
1552246311.794048,CFz3fI1xWDTaTeyMia,192.168.10.180,45256,67.143.69.212,23,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,bashlite,bashlite_mal_spread_all
