,Unnamed: 0,timestamp,unique_id,orig_host,orig_port,resp_host,resp_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,Label
0,0,1674143461.17547,CpVByJ2tjggaczkiM6,192.168.137.163,40893,120.76.210.199,80,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,Mirai_DDoS
1,1,1674143464.198089,C0uoIy3B1Tnf9148V7,192.168.137.163,40895,120.76.210.199,80,tcp,-,3.009603,0,0,S0,T,F,0,S,3,180,0,0,-,Mirai_DDoS
2,2,1674143460.595065,CAvrvz3NdM7FaYKzSc,192.168.137.206,22524,192.168.137.1,53,udp,dns,-,-,-,SHR,T,T,0,^d,0,0,1,132,-,Mirai_DDoS
3,3,1674143461.153574,CPEK4E2pabInJKSW9d,192.168.137.205,40348,192.168.137.1,53,udp,dns,0.561000,35,51,SF,T,T,0,Dd,1,63,1,79,-,Mirai_DDoS
4,4,1674143461.280412,CS4SY41RR3Uei9WFwl,192.168.137.205,58367,192.168.137.1,53,udp,dns,-,-,-,SHR,T,T,0,^d,0,0,1,80,-,Mirai_DDoS
5,5,1674143467.649121,CRNkzD2bCwEJOG8dQe,192.168.137.140,55018,100.20.212.253,8883,tcp,-,0.795347,0,0,SH,T,F,0,FT,2,173,0,0,-,Mirai_DDoS
6,6,1674143469.167358,CGQZ5b4cvf8ZyjuRMi,192.168.137.190,58694,52.11.155.34,21,tcp,-,3.002578,0,0,S0,T,F,0,S,3,180,0,0,-,Mirai_DDoS
7,7,1674143471.208509,CLsSxB2xBHrU1ZgrI3,192.168.137.163,40895,120.76.210.199,80,tcp,-,-,-,-,S0,T,F,0,S,1,60,0,0,-,Mirai_DDoS
8,8,1674143468.308261,CCewfk4JabJSd7Gh7g,192.168.137.237,43616,8.8.8.8,53,udp,dns,0.169954,65,149,SF,T,F,0,Dd,1,93,1,177,-,Mirai_DDoS
9,9,1674143468.357045,Ccapz02yiCH5NQCIy,192.168.137.237,34415,8.8.8.8,53,udp,dns,0.169514,65,161,SF,T,F,0,Dd,1,93,1,189,-,Mirai_DDoS
10,10,1674143468.914435,CqlJKW3DQ2EXbAxGk,192.168.137.190,24155,192.168.137.1,53,udp,dns,0.201856,44,152,SF,T,T,0,Dd,1,72,1,180,-,Mirai_DDoS
11,11,1674143468.989277,CljeKh4uEEb18qHvKf,192.168.137.190,18834,192.168.137.1,53,udp,dns,0.232259,44,108,SF,T,T,0,Dd,1,72,1,136,-,Mirai_DDoS
12,12,1674143474.400132,CkEXwg1wfyEEBMOf9h,192.168.137.58,47361,51.145.143.28,443,tcp,ssl,1.580140,146984,6270,SF,T,F,67675,SADhgacdCGCGFf,72,89332,77,5926,-,Mirai_DDoS
