iter	Passed	Remaining
0	16	1639
1	19	971
2	25	825
3	30	721
4	32	624
5	35	554
6	43	575
7	46	532
8	49	499
9	52	471
10	55	447
11	58	426
12	66	446
13	70	432
14	73	418
15	76	404
16	83	406
17	88	403
18	91	389
19	94	376
20	96	364
21	101	359
22	104	349
23	106	338
24	109	328
25	112	320
26	115	311
27	118	303
28	120	295
29	124	290
30	127	282
31	129	275
32	132	269
33	135	262
34	137	256
35	140	250
36	143	244
37	145	238
38	148	232
39	151	226
40	153	221
41	156	215
42	158	210
43	161	205
44	163	200
45	167	196
46	170	192
47	173	188
48	176	183
49	179	179
50	182	175
51	184	170
52	187	166
53	189	161
54	191	157
55	195	153
56	198	149
57	201	146
58	204	141
59	206	137
60	209	134
61	212	130
62	215	126
63	217	122
64	220	118
65	223	115
66	226	111
67	228	107
68	230	103
69	233	99
70	235	96
71	238	92
72	241	89
73	243	85
74	246	82
75	248	78
76	251	75
77	254	71
78	256	68
79	259	64
80	262	61
81	264	58
82	268	54
83	270	51
84	273	48
85	280	45
86	282	42
87	285	38
88	287	35
89	289	32
90	292	28
91	294	25
92	297	22
93	299	19
94	302	15
95	305	12
96	307	9
97	309	6
98	311	3
99	314	0
